epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,eval_best_epoch,eval_best_source,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,148,0.0920070889657615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.190263437104225e-06,0.0,0.05,52.82758006686127,,52.82758006686127,52.82758006686127,49.306165520700546,49.306165520700546,0,raw,1,raw,0,6.223926812410355,6.223937600851059
1,240,latent no-align,0.001,148,0.016699683267270792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.693639341726265e-06,0.0,0.1,37.59631276756675,,37.59631276756675,37.59631276756675,34.98538922588313,34.98538922588313,1,raw,1,raw,0,6.710260044783354,12.935527671128511
2,240,latent no-align,0.001,148,0.01140947054089928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0742133535795556e-05,0.0,0.15,37.330511299015235,,37.330511299015235,37.330511299015235,35.01861699745526,34.98538922588313,1,raw,1,raw,0,7.494035255163908,20.43080982938409
3,240,latent no-align,0.001,148,0.00989694701746811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1875839907195376e-05,0.0,0.2,32.47092010221779,,32.47092010221779,32.47092010221779,31.36851002077178,31.36851002077178,3,raw,1,raw,0,7.666153524070978,28.09820605069399
4,240,latent no-align,0.001,148,0.008847576761114839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.270714552152345e-05,0.0,0.25,34.029835562705365,,34.029835562705365,32.47092010221779,32.24831941567945,31.36851002077178,3,raw,0,raw,1,8.348345253616571,36.447785418480635
5,240,latent no-align,0.001,148,0.007705001147916993,0.0,0.0,0.0,0.0006118066067338568,0.42262620015724284,0.05664581880980247,0.38547756754466006,1.373330496790004e-05,0.025,0.3,34.163899084545776,,34.163899084545776,32.47092010221779,,31.36851002077178,3,raw,0,raw,2,13.305102478712797,49.754202496260405
6,240,latent no-align,0.001,148,0.007351550732965808,0.0,0.0,0.0,0.0006797036763305801,0.2426892373006086,0.05376939007357971,0.36244407960691966,1.4201902276171668e-05,0.05,0.35,26.307174358644996,,26.307174358644996,26.307174358644996,25.817283470709267,25.817283470709267,6,raw,1,raw,0,15.858134113252163,65.61372735351324
7,240,latent no-align,0.001,148,0.00696301891789394,0.0,0.0,0.0,0.0009388986819996373,0.22138493951108004,0.05164048387794881,0.3210290714695647,1.4843987628410105e-05,0.075,0.4,29.384565170538476,,29.384565170538476,26.307174358644996,,25.817283470709267,6,raw,0,raw,1,13.003324389457703,78.61828595399857
8,240,latent no-align,0.001,148,0.0067217750348956195,0.0,0.0,0.0,0.0011654754123663076,0.20590554258307894,0.051178265514003264,0.2874248935966878,1.5876999170998443e-05,0.1,0.45,27.409664526457863,,27.409664526457863,26.307174358644996,,25.817283470709267,6,raw,0,raw,2,9.072244457900524,87.69176344200969
9,240,latent no-align,0.001,148,0.006319201755891177,0.0,0.0,0.0,0.0013397855533135903,0.1888173772273837,0.05265756422100035,0.23307750796949542,1.6660950954295963e-05,0.125,0.5,27.487617679516212,,27.487617679516212,26.307174358644996,26.88593964084078,25.817283470709267,6,raw,0,raw,3,15.367287773638964,103.0602374188602
10,240,latent no-align,0.001,148,0.006271070813307086,0.0,0.0,0.0,0.0014289476384874433,0.16697247276032293,0.0561261069583329,0.18566887120942813,1.7443034217600093e-05,0.15,0.55,28.82243051095168,,28.82243051095168,26.307174358644996,,25.817283470709267,6,raw,0,raw,4,12.16556952893734,115.22727418318391
11,240,latent no-align,0.001,148,0.005842173893659099,0.0,0.0,0.0,0.0014986666485767913,0.14900605138894674,0.062104906056176974,0.14560769870877266,1.86236073548915e-05,0.175,0.6,27.127666082603522,,27.127666082603522,26.307174358644996,,25.817283470709267,6,raw,0,raw,5,9.5556909032166,124.78440267592669
12,240,latent no-align,0.001,148,0.006143793064119244,0.0,0.0,0.0,0.0015784863554054519,0.13673420023877877,0.06695741636527551,0.11192517395357827,1.9203003166940352e-05,0.2,0.65,21.93388376154596,,21.93388376154596,21.93388376154596,22.314897284155315,22.314897284155315,12,raw,1,raw,0,13.973295856267214,138.7588883265853
13,240,latent no-align,0.001,148,0.005812259782672029,0.0,0.0,0.0,0.0016438763248860031,0.1260938655484367,0.07046752317330322,0.09209356537541828,2.006801212307953e-05,0.225,0.7,21.05883296280147,,21.05883296280147,21.05883296280147,21.31844384743597,21.31844384743597,13,raw,1,raw,0,13.48633673042059,152.2464650273323
14,240,latent no-align,0.001,148,0.005665048702015869,0.0,0.0,0.0,0.0016912916577672837,0.11639013780734024,0.07489248626940959,0.07833371462451445,2.1948608251920166e-05,0.25,0.75,24.50602963884006,,24.50602963884006,21.05883296280147,24.003850936731343,21.31844384743597,13,raw,0,raw,1,13.642730847001076,165.8903619647026
