epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,eval_best_epoch,eval_best_source,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,168,0.12174122270551466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.823351983794645e-07,0.0,0.05,36.29204749619031,,36.29204749619031,36.29204749619031,35.840066063828196,35.840066063828196,0,raw,1,raw,0,11.283155430108309,11.283171016722918
1,240,latent no-align,0.001,168,0.06008286627807787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.345495362682284e-06,0.0,0.1,43.267565744211694,,43.267565744211694,36.29204749619031,,35.840066063828196,0,raw,0,raw,1,7.348257750272751,18.632843624800444
2,240,latent no-align,0.001,168,0.046387312978151296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1307896188771424e-05,0.0,0.15,34.70369339208783,,34.70369339208783,34.70369339208783,32.88108579610494,32.88108579610494,2,raw,1,raw,0,11.675789836794138,30.309902772307396
3,240,latent no-align,0.001,168,0.03543573206601044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.563997779742619e-05,0.0,0.2,60.19504885871319,,60.19504885871319,34.70369339208783,,32.88108579610494,2,raw,0,raw,1,8.851136490702629,39.162311375141144
4,240,latent no-align,0.001,168,0.029980370852475364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.712935208854019e-05,0.0,0.25,67.4699086570154,,67.4699086570154,34.70369339208783,65.1104925607401,32.88108579610494,2,raw,0,raw,2,9.497365720570087,48.66086311638355
5,240,latent no-align,0.001,168,0.027451303587960347,0.0,0.0,0.0,0.000652661967337952,0.4336203753593422,0.07878734907578855,0.28690083892572493,1.710515156598073e-05,0.025,0.3,59.205920793192966,,59.205920793192966,34.70369339208783,,32.88108579610494,2,raw,0,raw,3,13.937678225338459,62.60006430745125
6,240,latent no-align,0.001,168,0.025692548691516832,0.0,0.0,0.0,0.0006782877937352861,0.22717734789919286,0.07401202614640906,0.249002629447551,1.839253790032152e-05,0.05,0.35,59.59943577145497,,59.59943577145497,34.70369339208783,,32.88108579610494,2,raw,0,raw,4,12.821225482970476,75.42273443937302
7,240,latent no-align,0.001,168,0.025862051551008507,0.0,0.0,0.0,0.0009429827031064113,0.2070535346865654,0.0698434477228494,0.22644516160445555,1.8925860623702257e-05,0.075,0.4,60.142887486419994,,60.142887486419994,34.70369339208783,,32.88108579610494,2,raw,0,raw,5,11.689906369894743,87.11410262063146
8,240,latent no-align,0.001,168,0.025545087299265322,0.0,0.0,0.0,0.0011921247877624062,0.19556321673804805,0.06833557141501279,0.2226182815751859,2.114029047377352e-05,0.1,0.45,60.96505022163864,,60.96505022163864,34.70369339208783,,32.88108579610494,2,raw,0,raw,6,11.83971057832241,98.95500638335943
9,240,latent no-align,0.001,168,0.02529170983914463,0.0,0.0,0.0,0.0014297620017757816,0.18759616437767232,0.06579479960990804,0.19596784109515802,2.21717395149989e-05,0.125,0.5,60.43997885817,,60.43997885817,34.70369339208783,57.85655140780338,32.88108579610494,2,raw,0,raw,7,14.945175182074308,113.90149004384875
10,240,latent no-align,0.001,168,0.024509728753140995,0.0,0.0,0.0,0.0016303043403673829,0.17797911628371194,0.066717059041063,0.13170295528003148,2.5143612620446393e-05,0.15,0.55,62.603375409291495,,62.603375409291495,34.70369339208783,,32.88108579610494,2,raw,0,raw,8,11.274357479065657,125.17709022387862
11,240,latent no-align,0.001,168,0.023586361513783533,0.0,0.0,0.0,0.001806991313406754,0.16759861074388027,0.06881987259146713,0.09686767828783818,2.6650097165007276e-05,0.175,0.6,69.10429071402952,,69.10429071402952,34.70369339208783,,32.88108579610494,2,raw,0,raw,9,11.696217074990273,136.87456953525543
12,240,latent no-align,0.001,168,0.023769089857870268,0.0,0.0,0.0,0.0019525715102818573,0.15509642900100776,0.07157586523819537,0.0820355276089339,2.6964507166364154e-05,0.2,0.65,67.07929287216484,,67.07929287216484,34.70369339208783,,32.88108579610494,2,raw,0,raw,10,10.967773605138063,147.8435444533825
13,240,latent no-align,0.001,168,0.02376442191390587,0.0,0.0,0.0,0.0020318795730071585,0.13971947160150325,0.0776866568429839,0.07831174560955592,2.7182213129673894e-05,0.225,0.7,66.00783334480178,,66.00783334480178,34.70369339208783,,32.88108579610494,2,raw,0,raw,11,12.00508926063776,159.85003960877657
