epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,eval_best_epoch,eval_best_source,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,390,0.0676798607294376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.737914894040818e-06,0.0,0.05,17.333975948317295,,17.333975948317295,17.333975948317295,17.139858114075643,17.139858114075643,0,raw,1,raw,0,28.110720954835415,28.110736653208733
1,240,latent no-align,0.001,390,0.02986467621313074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.662360112742485e-06,0.0,0.1,13.808987260454547,,13.808987260454547,13.808987260454547,14.00838060891742,14.00838060891742,1,raw,1,raw,0,35.916015572845936,64.02965043857694
2,240,latent no-align,0.001,390,0.026240786656928368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22966657456112e-06,0.0,0.15,15.223590873475256,,15.223590873475256,13.808987260454547,,14.00838060891742,1,raw,0,raw,1,23.205265156924725,87.23767404258251
3,240,latent no-align,0.001,390,0.025323530403562847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78859217329703e-06,0.0,0.2,13.673859648021043,,13.673859648021043,13.673859648021043,13.862447631402055,13.862447631402055,3,raw,1,raw,0,32.49179254472256,119.73257944732904
4,240,latent no-align,0.001,390,0.024560000563565738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2652711587113284e-06,0.0,0.25,13.853074605455486,,13.853074605455486,13.673859648021043,14.047284773364902,13.862447631402055,3,raw,0,raw,1,34.38712613284588,154.12237398698926
5,240,latent no-align,0.001,390,0.023972852513767205,0.0,0.0,0.0,0.0005170028982833267,0.34138991278715625,0.038471933186818394,0.3515135225577232,7.714785253763414e-06,0.025,0.3,13.053540982518799,,13.053540982518799,13.053540982518799,13.216272565258622,13.216272565258622,5,raw,1,raw,0,38.3882839679718,192.51387851312757
6,240,latent no-align,0.001,390,0.023005499588086818,0.0,0.0,0.0,0.0007087923972927129,0.2338709471317438,0.035681798767585024,0.3561492499632713,8.463813328956184e-06,0.05,0.35,16.745150731869025,,16.745150731869025,13.053540982518799,,13.216272565258622,5,raw,0,raw,1,30.793199203908443,223.31019731238484
7,240,latent no-align,0.001,390,0.023029031224835378,0.0,0.0,0.0,0.0009858283081438201,0.21639444094437818,0.03459190369989627,0.34947034403299676,9.046678642568087e-06,0.075,0.4,12.944242983534616,,12.944242983534616,12.944242983534616,13.062747076290997,13.062747076290997,7,raw,1,raw,0,42.25622654333711,265.56964235007763
8,240,latent no-align,0.001,390,0.022356884453732233,0.0,0.0,0.0,0.0012410403053180722,0.20422448175839888,0.03462487661685699,0.3350324363280565,9.631017931100452e-06,0.1,0.45,12.855533430543721,,12.855533430543721,12.855533430543721,13.05532761257691,13.05532761257691,8,raw,1,raw,0,41.03011301904917,306.60241397842765
9,240,latent no-align,0.001,390,0.022224025999028712,0.0,0.0,0.0,0.0014407258982268663,0.18936064457282042,0.03769865222275257,0.31076346047413655,1.0429744181750814e-05,0.125,0.5,13.091426254687326,,13.091426254687326,12.855533430543721,13.352219682777152,13.05532761257691,8,raw,0,raw,1,46.11523097380996,352.72038231417537
10,240,latent no-align,0.001,390,0.021627261265157124,0.0,0.0,0.0,0.0016029355465434492,0.17537540480112418,0.04230303655450161,0.2810830767720174,1.1144586297189399e-05,0.15,0.55,12.488371996978325,,12.488371996978325,12.488371996978325,12.688495972767383,12.688495972767383,10,raw,1,raw,0,41.38461588323116,394.10824244096875
11,240,latent no-align,0.001,390,0.0215879782437323,0.0,0.0,0.0,0.0016630498429712577,0.15543129971394173,0.04788319313755402,0.25127717245083586,1.1831359330617721e-05,0.175,0.6,12.50174154168813,,12.50174154168813,12.488371996978325,,12.688495972767383,10,raw,0,raw,1,28.418161410838366,422.5291046574712
12,240,latent no-align,0.001,390,0.021229000344203833,0.0,0.0,0.0,0.0017486506395447904,0.14244616979207747,0.051929365595181784,0.22930346119862335,1.2649619566218463e-05,0.2,0.65,12.372122462263363,,12.372122462263363,12.372122462263363,12.520301291573823,12.520301291573823,12,raw,1,raw,0,51.92487448453903,474.45707335695624
