epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
18,240,latent no-align,0.001,148,0.00541238348484291,0.0,0.0,0.0,0.0020388551245166643,0.09503599361994781,0.09008334803621511,0.23270381231968468,2.534606846893439e-05,0.35,0.95,20.57542466016366,,20.57542466016366,20.57542466016366,,26.050641727869664,1,raw,0,4.187935799360275,82.13246663659811
19,240,latent no-align,0.001,148,0.005306449802151906,0.0,0.0,0.0,0.002110526591816263,0.09176863322185504,0.08965304247229486,0.22585250568148252,2.6335757829164742e-05,0.375,1.0,25.34611295619743,,25.34611295619743,20.57542466016366,24.277445732203436,24.277445732203436,0,raw,1,6.5799595564603806,88.71334876865149
20,240,latent no-align,0.001,148,0.005356531926883837,0.0,0.0,0.0,0.002205953681589784,0.08953563884102009,0.0868397453749502,0.22227130890698046,2.509275641018207e-05,0.4,1.0,22.06387185448511,,22.06387185448511,20.57542466016366,,24.277445732203436,0,raw,2,4.246861483901739,92.96113286167383
21,240,latent no-align,0.001,148,0.005155664882811441,0.0,0.0,0.0,0.002241754953157962,0.08521645657114081,0.08671469120560465,0.21855459080354586,2.48791007539399e-05,0.425,1.0,22.06284667252523,,22.06284667252523,20.57542466016366,,24.277445732203436,0,raw,3,4.2586814016103745,97.22074874863029
22,240,latent no-align,0.001,148,0.005153430045292889,0.0,0.0,0.0,0.0022621959356616274,0.08046287197518993,0.08480284614740191,0.21911503394713272,2.3704939038096297e-05,0.45,1.0,19.537196890277745,,19.537196890277745,19.537196890277745,,24.277445732203436,1,raw,0,4.342527016997337,101.56424821913242
23,240,latent no-align,0.001,148,0.005093873215751168,0.0,0.0,0.0,0.0023234979708905558,0.07815222613312103,0.08314005783884912,0.2164482855917634,2.345178004484419e-05,0.475,1.0,18.440811389960686,,18.440811389960686,18.440811389960686,,24.277445732203436,1,raw,0,4.584650978446007,106.14984320476651
24,240,latent no-align,0.001,148,0.004879303830298218,0.0,0.0,0.0,0.0023673697897056874,0.07495038236516553,0.08070611087857066,0.2153554618157245,2.325565448110275e-05,0.5,1.0,22.363402108194357,,22.363402108194357,18.440811389960686,21.73453100625872,21.73453100625872,0,raw,1,6.941649843007326,113.09242088720202
25,240,latent no-align,0.001,148,0.004885014055321949,0.0,0.0,0.0,0.0024223503707027113,0.07264396618749644,0.07779612794921205,0.21233409784130147,2.2619723839287308e-05,0.525,1.0,15.661998887952908,,15.661998887952908,15.661998887952908,,21.73453100625872,1,raw,0,7.023110017180443,120.11645671352744
26,240,latent no-align,0.001,148,0.004997112720613242,0.0,0.0,0.0,0.0024958526215365004,0.07110973950978872,0.07510647897583407,0.21266531309968717,2.1883556336114133e-05,0.55,1.0,21.56321526511892,,21.56321526511892,15.661998887952908,,21.73453100625872,0,raw,1,7.632860068231821,127.7502314709127
27,240,latent no-align,0.001,148,0.00487225888001204,0.0,0.0,0.0,0.002563585970877997,0.06955604788822096,0.07250284252537263,0.21069740936965556,2.136386118198405e-05,0.575,1.0,23.47251703105934,,23.47251703105934,15.661998887952908,,21.73453100625872,0,raw,2,9.454044364392757,137.20524575933814
28,240,latent no-align,0.001,148,0.0046875884904324806,0.0,0.0,0.0,0.0026085064888025657,0.06750540002375036,0.07046469024105652,0.2091070672346128,2.1203935412395857e-05,0.6,1.0,17.213686398459117,,17.213686398459117,15.661998887952908,,21.73453100625872,0,raw,3,13.073642943054438,150.27987414225936
29,240,latent no-align,0.001,148,0.004735311523167971,0.0,0.0,0.0,0.0027064400901262824,0.06731074107055729,0.06842702722831352,0.20731602729977788,2.0939401897398842e-05,0.625,1.0,17.93004279240684,,17.93004279240684,15.661998887952908,18.334379184521946,18.334379184521946,0,raw,4,16.55305128917098,166.83560359105468
30,240,latent no-align,0.001,148,0.004679763088682415,0.0,0.0,0.0,0.00278964511597076,0.06673695700796875,0.06675648528176385,0.20602607958622882,2.06429821987144e-05,0.65,1.0,18.811396472789223,,18.811396472789223,15.661998887952908,,18.334379184521946,0,raw,5,11.323379013687372,178.15990487858653
31,240,latent no-align,0.001,148,0.00480628213562021,0.0,0.0,0.0,0.002806897836775091,0.06422993236196202,0.06764623492553427,0.20506994043653076,2.0852881445190742e-05,0.675,1.0,17.92091170954084,,17.92091170954084,15.661998887952908,,18.334379184521946,0,raw,6,10.71688922867179,188.87771383672953
32,240,latent no-align,0.001,148,0.004719360261161283,0.0,0.0,0.0,0.002838005856107417,0.06233739203496559,0.06663664531063389,0.20588720036116806,2.0619482822095615e-05,0.7,1.0,15.46849301436249,,15.46849301436249,15.46849301436249,,18.334379184521946,1,raw,0,8.788940377533436,197.66765892133117
33,240,latent no-align,0.001,148,0.00454340799321496,0.0,0.0,0.0,0.0028804172415638693,0.06154108430082734,0.0658106832085429,0.20430841236501127,2.1608552951629218e-05,0.725,1.0,16.657184322633316,,16.657184322633316,15.46849301436249,,18.334379184521946,0,raw,1,10.142319642007351,207.81089815869927
34,240,latent no-align,0.001,148,0.004568538858202865,0.0,0.0,0.0,0.0029179176372299727,0.06034434141238799,0.06393561409031218,0.20319356376657616,2.236710105461424e-05,0.75,1.0,16.660502026815667,,16.660502026815667,15.46849301436249,17.81522417261995,17.81522417261995,0,raw,2,13.20104880258441,221.01288558542728
35,240,latent no-align,0.001,148,0.004515683725224556,0.0,0.0,0.0,0.0030037192124369983,0.060401544755173696,0.06151145273769224,0.2021359776121539,2.2486990658492415e-05,0.775,1.0,17.402711849383646,,17.402711849383646,15.46849301436249,,17.81522417261995,0,raw,3,9.857751943171024,230.87158704549074
36,240,latent no-align,0.001,148,0.004548620531725622,0.0,0.0,0.0,0.0030870499841340287,0.06034897212442514,0.05984029838362256,0.20123739852695852,2.3321357238691654e-05,0.8,1.0,18.58463656258728,,18.58463656258728,15.46849301436249,,17.81522417261995,0,raw,4,8.741107523441315,239.61363535001874
37,240,latent no-align,0.001,148,0.004518995665617891,0.0,0.0,0.0,0.003186756354832166,0.06073158750360882,0.05866286317138253,0.19912541607344472,2.3574615145637812e-05,0.825,1.0,16.78771437286348,,16.78771437286348,15.46849301436249,,17.81522417261995,0,raw,5,9.850949667394161,249.46556556597352
38,240,latent no-align,0.001,148,0.004422105383127928,0.0,0.0,0.0,0.00323968063851164,0.060316020396311544,0.05759692677875628,0.19847515255615517,2.415853770946489e-05,0.85,1.0,20.000757722927045,,20.000757722927045,15.46849301436249,,17.81522417261995,0,raw,6,10.219648238271475,259.68617813661695
