epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,best_rmse,is_best,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,148,0.06526088099171584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.550680574279426e-06,0.0,0.05,48.438108962592345,48.438108962592345,1,7.1350663006305695,7.135078623890877
1,240,latent no-align,0.001,148,0.015363823697977775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4458041769594766e-05,0.0,0.1,73.22897127193595,48.438108962592345,0,6.877799313515425,14.015083007514477
2,240,latent no-align,0.001,148,0.011876569312015499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.946345181553428e-05,0.0,0.15,68.00457068298812,48.438108962592345,0,6.743130128830671,20.76031458750367
3,240,latent no-align,0.001,148,0.01000680063058295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130866039658793e-05,0.0,0.2,66.24900694463807,48.438108962592345,0,7.776416685432196,28.53880588337779
4,240,latent no-align,0.001,148,0.009180966352515325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.424339142659871e-05,0.0,0.25,63.068006913287306,48.438108962592345,0,8.422875378280878,36.96376610547304
5,240,latent no-align,0.001,148,0.008416720426867943,0.0,0.0,0.0,0.0006904678979284457,0.4930119828597919,0.07297966760155317,0.28932702138617233,2.622288299814524e-05,0.025,0.3,75.99930890639538,48.438108962592345,0,12.154458031058311,49.12041965126991
6,240,latent no-align,0.001,148,0.008105244037594545,0.0,0.0,0.0,0.0007642743679556392,0.2851883887841895,0.0739237985800247,0.2699906009475927,2.8009891704297497e-05,0.05,0.35,71.99326251258702,48.438108962592345,0,12.409744292497635,61.53230210393667
7,240,latent no-align,0.001,148,0.007370506422720044,0.0,0.0,0.0,0.001028480621391429,0.23662472627050168,0.08093745125507987,0.2658416805033748,3.0484026926903942e-05,0.075,0.4,73.20225071041887,48.438108962592345,0,11.444114562124014,72.97860850393772
8,240,latent no-align,0.001,148,0.007067297607333072,0.0,0.0,0.0,0.0012477183922168773,0.20430994295590632,0.08363662056020789,0.26059781216286326,3.0468574636501757e-05,0.1,0.45,70.6743196002538,48.438108962592345,0,11.356433633714914,84.33711793646216
9,240,latent no-align,0.001,148,0.006957586068106261,0.0,0.0,0.0,0.0014252438087242881,0.17856125634264303,0.08844030764255975,0.25398818242388804,2.9574318493876097e-05,0.125,0.5,69.04891729354713,48.438108962592345,0,11.41055240854621,95.74975637346506
