epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.0007,148,0.0733426623298107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1129169394821105e-05,0.0,0.05,54.91965611246245,,54.91965611246245,54.91965611246245,1,raw,0,13.005801793187857,13.006598617881536
1,240,latent no-align,0.0007,148,0.017428226278138323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5181710271438508e-05,0.0,0.1,71.01762936168147,,71.01762936168147,54.91965611246245,0,raw,1,12.807224281132221,25.820237193256617
2,240,latent no-align,0.0007,148,0.013022347070226396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2606007774270807e-05,0.0,0.15,69.96914049835698,,69.96914049835698,54.91965611246245,0,raw,2,13.381033942103386,39.20757066830993
3,240,latent no-align,0.0007,148,0.011070121142610505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.498589265087503e-05,0.0,0.2,66.19579664599061,,66.19579664599061,54.91965611246245,0,raw,3,13.387655839323997,52.60152639821172
4,240,latent no-align,0.0007,148,0.009762303548160236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6920559653139993e-05,0.0,0.25,67.53244101819278,,67.53244101819278,54.91965611246245,0,raw,4,12.756070386618376,65.36389469727874
5,240,latent no-align,0.0007,148,0.009022930382146827,0.0,0.0,0.0,0.0007210709711118299,0.5847349096391652,0.08118730909316926,0.30765913044278687,2.8549207670309714e-05,0.025,0.3,61.82564161148993,66.53538536839083,61.82564161148993,54.91965611246245,0,raw,5,21.576109007000923,86.9463097974658
6,240,latent no-align,0.0007,148,0.00864626535503949,0.0,0.0,0.0,0.0007354437103778175,0.33948790241737625,0.0799526124185807,0.30820274876581655,3.139354370235909e-05,0.05,0.35,67.42796328337916,65.83338565250887,65.83338565250887,54.91965611246245,0,raw,6,22.906912073493004,109.85950633883476
7,240,latent no-align,0.0007,148,0.008116176270099508,0.0,0.0,0.0,0.001005005365162081,0.2904684108656806,0.07952006589117888,0.2918795057245203,3.222387299870575e-05,0.075,0.4,68.54400022548141,66.38479667927281,66.38479667927281,54.91965611246245,0,raw,7,21.50810829922557,131.37393117323518
8,240,latent no-align,0.00035,148,0.01861320176111484,0.0,0.0,0.0,0.002542591218779971,0.5209734709681692,0.10841293411480414,0.21458160836954374,6.445242982138282e-05,0.1,0.45,69.15392607839395,59.70551353076319,59.70551353076319,54.91965611246245,0,raw,8,26.000348296016455,157.38214805722237
9,240,latent no-align,0.00035,148,0.014851653954718966,0.0,0.0,0.0,0.0020744548355405394,0.3875927139778395,0.11253564683972178,0.21690746497463537,6.941343592090463e-05,0.125,0.5,71.97390024440453,64.77280881523656,64.77280881523656,54.91965611246245,0,raw,9,22.95092409476638,180.3394189029932
