epoch,unit,data_len,rmse
0,FD004-1.txt,390,64.31951231396769
0,FD004-10.txt,423,66.60798253570945
0,FD004-100.txt,330,60.182789965917955
0,FD004-101.txt,329,58.841776791478146
0,FD004-102.txt,263,47.56739083576173
0,FD004-103.txt,293,54.82623919550631
0,FD004-104.txt,272,49.17936668154116
0,FD004-105.txt,239,43.39799503084637
0,FD004-106.txt,335,61.01052377010137
0,FD004-107.txt,252,45.77467045053207
0,FD004-108.txt,373,64.92360880274067
0,FD004-109.txt,394,64.6269208197159
0,FD004-11.txt,370,65.2829885766161
0,FD004-110.txt,255,47.27350620403217
0,FD004-111.txt,366,62.57541133484525
0,FD004-112.txt,409,69.02076841835627
0,FD004-113.txt,253,46.654372765150306
0,FD004-114.txt,230,37.3421196917394
0,FD004-115.txt,200,24.36558745164707
0,FD004-116.txt,413,65.79951005436848
0,FD004-117.txt,411,67.81835878520937
0,FD004-118.txt,612,76.36353776285512
0,FD004-119.txt,256,47.611547672785676
0,FD004-12.txt,341,59.72998014339895
0,FD004-120.txt,246,43.54487974684788
0,FD004-121.txt,263,49.079803255865
0,FD004-122.txt,243,43.38406254305734
0,FD004-123.txt,295,53.930144997750254
0,FD004-124.txt,239,41.66937030442776
0,FD004-125.txt,308,57.32834351353592
0,FD004-126.txt,371,63.56644327286493
0,FD004-127.txt,304,56.07217044484777
0,FD004-128.txt,317,58.4173964240394
0,FD004-129.txt,259,47.90337621212909
0,FD004-13.txt,325,60.61012321496148
0,FD004-130.txt,235,41.898977238298585
0,FD004-131.txt,439,70.19921491295436
0,FD004-132.txt,323,58.456698532166136
0,FD004-133.txt,558,74.1400858196964
0,FD004-134.txt,316,58.97644522808447
0,FD004-135.txt,218,32.57311916324282
0,FD004-136.txt,274,50.42261051839004
0,FD004-137.txt,294,54.66868814936998
0,FD004-138.txt,247,46.800975936618705
0,FD004-139.txt,320,59.41757530848041
0,FD004-14.txt,322,56.96396024857558
0,FD004-140.txt,367,64.14068875216914
0,FD004-141.txt,268,48.286872156490446
0,FD004-142.txt,278,52.967168885943806
0,FD004-143.txt,253,45.639027824582534
0,FD004-144.txt,366,61.61781272793013
0,FD004-145.txt,297,58.252292921709156
0,FD004-146.txt,372,65.07114823415716
0,FD004-147.txt,303,55.999109576303056
0,FD004-148.txt,262,47.94546758056647
0,FD004-149.txt,330,59.777779153051256
0,FD004-15.txt,293,54.43777185465165
0,FD004-150.txt,218,35.84507056471657
0,FD004-151.txt,420,68.04389735622634
0,FD004-152.txt,331,62.91969291071646
0,FD004-153.txt,237,41.41023705923908
0,FD004-154.txt,272,49.13602580030628
0,FD004-155.txt,364,62.08319774014279
0,FD004-156.txt,208,28.06571848112245
0,FD004-157.txt,367,63.215672143421905
0,FD004-158.txt,468,70.72396155761723
0,FD004-159.txt,357,61.30695630712686
0,FD004-16.txt,253,45.178662939393575
0,FD004-160.txt,256,48.063160439109375
0,FD004-161.txt,372,64.53879591571938
0,FD004-162.txt,382,64.70080434839004
0,FD004-163.txt,354,64.07853860663953
0,FD004-164.txt,449,69.09518897207496
0,FD004-165.txt,324,59.915758145205544
0,FD004-166.txt,338,63.69850322695575
0,FD004-167.txt,332,61.13340161481418
0,FD004-168.txt,265,52.79684734507242
0,FD004-169.txt,296,56.00674217235051
0,FD004-17.txt,220,35.21691420056077
0,FD004-170.txt,230,36.50038509835987
0,FD004-171.txt,468,71.37383984752832
0,FD004-172.txt,342,64.27941787565362
0,FD004-173.txt,526,73.01345885592384
0,FD004-174.txt,439,67.67324247436034
0,FD004-175.txt,225,35.68207485801463
0,FD004-176.txt,249,46.684336176002994
0,FD004-177.txt,311,59.0812210642578
0,FD004-178.txt,239,40.301227617506875
0,FD004-179.txt,504,71.7989517065223
0,FD004-18.txt,412,67.1180795248884
0,FD004-180.txt,413,67.76615582349778
0,FD004-181.txt,203,28.526624256532504
0,FD004-182.txt,274,51.58811819530508
0,FD004-183.txt,259,48.005649193102094
0,FD004-184.txt,448,68.81909987498555
0,FD004-185.txt,328,58.543063061208244
0,FD004-186.txt,232,39.21379127184052
0,FD004-187.txt,342,60.564068219908506
0,FD004-188.txt,323,60.440473771181175
0,FD004-189.txt,308,58.75414372820185
0,FD004-19.txt,279,53.05607891434897
0,FD004-190.txt,450,68.3910245805517
0,FD004-191.txt,366,64.42931666943431
0,FD004-192.txt,259,46.8868464245064
0,FD004-193.txt,266,49.592763400467774
0,FD004-194.txt,214,31.698988070917114
0,FD004-195.txt,228,39.37226113057271
0,FD004-196.txt,243,44.67634776166443
0,FD004-197.txt,239,42.34496561582549
0,FD004-198.txt,233,40.068817248900665
0,FD004-199.txt,245,44.157260271594964
0,FD004-2.txt,368,63.73474032770843
0,FD004-20.txt,314,56.66257555750417
0,FD004-200.txt,294,54.081948130934414
0,FD004-201.txt,447,72.26007162439804
0,FD004-202.txt,310,57.61134960301228
0,FD004-203.txt,393,67.70538879669998
0,FD004-204.txt,280,55.051366611721214
0,FD004-205.txt,311,58.74383323400812
0,FD004-206.txt,332,61.451022786711526
0,FD004-207.txt,448,70.37890693430379
0,FD004-208.txt,359,65.96151377380122
0,FD004-209.txt,230,38.23980848340755
0,FD004-21.txt,296,56.25081732445396
0,FD004-210.txt,236,42.558082016505786
0,FD004-211.txt,215,34.014760969692475
0,FD004-212.txt,298,58.45147663455125
0,FD004-213.txt,266,48.5958075891843
0,FD004-214.txt,197,24.467727572999525
0,FD004-215.txt,430,68.75276096598705
0,FD004-216.txt,313,58.55433115404081
0,FD004-217.txt,269,50.27798274174286
0,FD004-218.txt,305,57.454362971430506
0,FD004-219.txt,259,48.192885094263474
0,FD004-22.txt,280,53.15772221760246
0,FD004-220.txt,271,51.869227063082974
0,FD004-221.txt,343,62.2613586019965
0,FD004-222.txt,271,51.36245875117822
0,FD004-223.txt,316,58.72673691896748
0,FD004-224.txt,337,60.56876341171397
0,FD004-225.txt,487,70.25628574802379
0,FD004-226.txt,263,49.33936553219448
0,FD004-227.txt,356,60.93320269916227
0,FD004-228.txt,348,61.24145074104768
0,FD004-229.txt,349,62.785469641499674
0,FD004-23.txt,349,63.27251588367885
0,FD004-230.txt,319,58.16961199090547
0,FD004-231.txt,263,46.975401102234564
0,FD004-232.txt,342,61.5281097204547
0,FD004-233.txt,358,64.298885275217
0,FD004-234.txt,276,51.883017132115754
0,FD004-235.txt,268,48.24523657237688
0,FD004-236.txt,294,53.14124932813668
0,FD004-237.txt,281,53.91679044517375
0,FD004-238.txt,256,43.95562607856524
0,FD004-239.txt,434,68.44229852074038
0,FD004-24.txt,255,48.12960107236358
0,FD004-240.txt,218,33.05128234402083
0,FD004-241.txt,401,67.72461340459954
0,FD004-242.txt,291,54.62457360321228
0,FD004-243.txt,396,65.18989433026805
0,FD004-244.txt,336,62.21973143482756
0,FD004-245.txt,274,51.90519745374023
0,FD004-246.txt,230,34.848757985824435
0,FD004-247.txt,280,48.59462446022607
0,FD004-248.txt,253,45.95064198056818
0,FD004-249.txt,324,58.34267893612396
0,FD004-25.txt,219,34.13953309335774
0,FD004-26.txt,366,64.10774053248328
0,FD004-27.txt,232,38.574578426820516
0,FD004-28.txt,271,51.244093652723095
0,FD004-29.txt,316,59.245355645013774
0,FD004-3.txt,376,64.7921051913878
0,FD004-30.txt,366,64.86537938335755
0,FD004-31.txt,332,61.85641795815303
0,FD004-32.txt,288,55.80426867603492
0,FD004-33.txt,270,53.50883264144132
0,FD004-34.txt,345,60.767077039863395
0,FD004-35.txt,290,54.567734972673975
0,FD004-36.txt,212,29.30914678399557
0,FD004-37.txt,457,70.95483097533783
0,FD004-38.txt,246,42.31465102650118
0,FD004-39.txt,271,50.035915214847456
0,FD004-4.txt,343,64.10871923522126
0,FD004-40.txt,275,51.704993498210946
0,FD004-41.txt,348,61.537617937232696
0,FD004-42.txt,349,61.5494527378239
0,FD004-43.txt,292,54.423126488253516
0,FD004-44.txt,272,50.683429882481185
0,FD004-45.txt,246,44.93899494479937
0,FD004-46.txt,390,65.92395478221557
0,FD004-47.txt,444,68.86689886170754
0,FD004-48.txt,391,64.91989722049942
0,FD004-49.txt,515,72.73798770168445
0,FD004-5.txt,262,46.48831617941079
0,FD004-50.txt,241,44.11375946400516
0,FD004-51.txt,354,63.429206381807276
0,FD004-52.txt,426,68.42475916609656
0,FD004-53.txt,373,64.05029464768137
0,FD004-54.txt,266,48.4131607239588
0,FD004-55.txt,413,68.66993342554831
0,FD004-56.txt,416,67.14659044211932
0,FD004-57.txt,262,48.99227557588444
0,FD004-58.txt,350,61.795744050204064
0,FD004-59.txt,246,45.49525248784349
0,FD004-6.txt,400,65.70690754674185
