epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,best_rmse,is_best,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,390,0.0676798607294376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.737914894040818e-06,0.0,0.05,17.333975969324822,17.333975969324822,1,11.824267484247684,11.824282683432102
1,240,latent no-align,0.001,390,0.02986467621313074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.662360112742485e-06,0.0,0.1,13.808987260454547,13.808987260454547,1,11.48070254176855,23.307330034673214
2,240,latent no-align,0.001,390,0.026240786656928368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22966657456112e-06,0.0,0.15,15.223590873475256,13.808987260454547,0,11.356578759849072,34.666091453284025
3,240,latent no-align,0.001,390,0.025323530403562847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78859217329703e-06,0.0,0.2,13.673906154285712,13.673906154285712,1,11.443070389330387,46.11131351813674
4,240,latent no-align,0.001,390,0.024560000563565738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2652711587113284e-06,0.0,0.25,13.853075488643386,13.673906154285712,0,11.716138534247875,57.82958175241947
5,240,latent no-align,0.001,390,0.023972852513767205,0.0,0.0,0.0,0.0005170028982833267,0.34138991278715625,0.038471933186818394,0.3515135225577232,7.714785253763414e-06,0.025,0.3,13.055897715908433,13.055897715908433,1,20.284374743700027,78.11612480133772
6,240,latent no-align,0.001,390,0.023005499588086818,0.0,0.0,0.0,0.0007087923972927129,0.2338709471317438,0.035681798767585024,0.3561492499632713,8.463813328956184e-06,0.05,0.35,16.745150731869025,13.055897715908433,0,27.651978511363268,105.77050941437483
7,240,latent no-align,0.001,390,0.023029031224835378,0.0,0.0,0.0,0.0009858283081438201,0.21639444094437818,0.03459190369989627,0.34947034403299676,9.046678642568087e-06,0.075,0.4,12.94584004302496,12.94584004302496,1,27.21704313904047,132.98977755382657
8,240,latent no-align,0.001,390,0.022356884453732233,0.0,0.0,0.0,0.0012410403053180722,0.20422448175839888,0.03462487661685699,0.3350324363280565,9.631017931100452e-06,0.1,0.45,12.855533430543721,12.855533430543721,1,25.656495213508606,158.64852602034807
9,240,latent no-align,0.001,390,0.022224025999028712,0.0,0.0,0.0,0.0014407258982268663,0.18936064457282042,0.03769865222275257,0.31076346047413655,1.0429744181750814e-05,0.125,0.5,13.091426254687326,12.855533430543721,0,25.337936330586672,183.9886642061174
10,240,latent no-align,0.001,390,0.021627261265157124,0.0,0.0,0.0,0.0016029355465434492,0.17537540480112418,0.04230303655450161,0.2810830767720174,1.1144586297189399e-05,0.15,0.55,12.488371996978325,12.488371996978325,1,25.695866886526346,209.6867582090199
11,240,latent no-align,0.001,390,0.0215879782437323,0.0,0.0,0.0,0.0016630498429712577,0.15543129971394173,0.04788319313755402,0.25127717245083586,1.1831359330617721e-05,0.175,0.6,12.501812191094396,12.488371996978325,0,25.56262694299221,235.25171913206577
12,240,latent no-align,0.001,390,0.021229000344203833,0.0,0.0,0.0,0.0017486506395447904,0.14244616979207747,0.051929365595181784,0.22930346119862335,1.2649619566218463e-05,0.2,0.65,12.372123339043425,12.372123339043425,1,25.795254737138748,261.04915191978216
13,240,latent no-align,0.001,390,0.020869284116018277,0.0,0.0,0.0,0.0018444532158378606,0.13310197066420165,0.052965290787128305,0.2156250930367372,1.3246210306906738e-05,0.225,0.7,13.74787750989862,12.372123339043425,0,25.590356539934874,286.64166090264916
14,240,latent no-align,0.001,390,0.020754432840607104,0.0,0.0,0.0,0.001929757405275431,0.12494453510794884,0.05489429402618836,0.20929885800832357,1.3993844326110915e-05,0.25,0.75,12.058477385951,12.058477385951,1,25.679518658667803,312.3234207108617
15,240,latent no-align,0.001,390,0.020394999906420706,0.0,0.0,0.0,0.001980322358222344,0.11617938383267476,0.05615616466563481,0.2023038265032646,1.46820112651114e-05,0.275,0.8,12.163220444773847,12.058477385951,0,25.648881636559963,337.9743952937424
16,240,latent no-align,0.001,390,0.020303635800687166,0.0,0.0,0.0,0.0020334244043064805,0.10884872642465127,0.05661505558169805,0.19586919504098402,1.5123439082414664e-05,0.3,0.85,12.37988763043578,12.058477385951,0,25.811462692916393,363.78908954933286
17,240,latent no-align,0.001,390,0.02022135900094723,0.0,0.0,0.0,0.0021117389775239504,0.10412823429856545,0.055963542675360654,0.19212899926381233,1.5867250082616615e-05,0.325,0.9,14.335580726795818,12.058477385951,0,25.575124759227037,389.3663924522698
