epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,eval_best_epoch,eval_best_source,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,390,0.08408804620878818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7174786528437964e-06,0.0,0.05,17.521959415061556,,17.521959415061556,17.521959415061556,17.52668142404988,17.52668142404988,0,raw,1,raw,0,19.561795089393854,19.56181002035737
1,240,latent no-align,0.001,390,0.033267454927166304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.804769752779603e-06,0.0,0.1,14.49786094424968,,14.49786094424968,14.49786094424968,14.648658925256775,14.648658925256775,1,raw,1,raw,0,24.141902834177017,43.706644494086504
2,240,latent no-align,0.001,390,0.02666588390771395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.564301287280381e-06,0.0,0.15,13.19760751874882,,13.19760751874882,13.19760751874882,13.3220997960967,13.3220997960967,2,raw,1,raw,0,26.636063437908888,70.34543870389462
3,240,latent no-align,0.001,390,0.025834178442183213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.981357119702107e-06,0.0,0.2,13.720392096405158,,13.720392096405158,13.19760751874882,,13.3220997960967,2,raw,0,raw,1,16.836783327162266,87.18480905145407
4,240,latent no-align,0.001,390,0.02468896129956612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5282036889872804e-06,0.0,0.25,15.729850186762938,,15.729850186762938,13.19760751874882,15.883859852361025,13.3220997960967,2,raw,0,raw,2,24.414283197373152,111.60184162482619
5,240,latent no-align,0.001,390,0.023737388858810448,0.0,0.0,0.0,0.0004657365686188524,0.3065564816578841,0.03616460145283968,0.35814445416132606,7.944872845072472e-06,0.025,0.3,13.476988283900157,,13.476988283900157,13.19760751874882,,13.3220997960967,2,raw,0,raw,3,26.240354117006063,137.8449813053012
6,240,latent no-align,0.001,390,0.023134021630558447,0.0,0.0,0.0,0.0006366183633545938,0.20982016493112612,0.033757685349346735,0.29278098535843383,8.443546700548793e-06,0.05,0.35,13.447890490262047,,13.447890490262047,13.19760751874882,,13.3220997960967,2,raw,0,raw,4,27.183392070233822,165.03107914701104
7,240,latent no-align,0.001,390,0.02311450077268558,0.0,0.0,0.0,0.0008888287250346576,0.19496382409945512,0.031905402634770444,0.2798676726145622,8.900077490090133e-06,0.075,0.4,12.244182686046212,,12.244182686046212,12.244182686046212,12.433891290034516,12.433891290034516,7,raw,1,raw,0,35.04400276765227,200.07776530832052
8,240,latent no-align,0.001,390,0.022600594771882664,0.0,0.0,0.0,0.0011005051410160004,0.18089000689677703,0.031539418949530676,0.26450756165461664,9.572010362600663e-06,0.1,0.45,13.43894294532216,,13.43894294532216,12.244182686046212,,12.433891290034516,7,raw,0,raw,1,26.196400325745344,226.27681213617325
9,240,latent no-align,0.001,390,0.022236356798272867,0.0,0.0,0.0,0.0012530529155181005,0.1643176740560776,0.033468444067507215,0.22509731761155985,1.0348960645737511e-05,0.125,0.5,12.388666713023246,,12.388666713023246,12.244182686046212,12.580134112328377,12.433891290034516,7,raw,0,raw,2,35.2168699093163,261.4967898055911
