epoch,unit,data_len,rmse,bias,pred_mean,truth_mean,pred_min,pred_max
0,FD003-73.txt,284,43.298578876710216,-35.32841086387634,55.066936910152435,90.39535164833069,20.99341243505478,102.16830909252167
0,FD003-1.txt,328,43.88430009398315,-38.6749204993248,58.44862908124924,97.12354958057404,21.441165506839752,105.31405627727509
0,FD003-40.txt,257,32.093007573877244,-27.342374324798584,57.3650798201561,84.70745027065277,21.163937896490097,105.61732113361359
0,FD003-16.txt,413,48.73640238711609,-40.02068251371384,65.2264142036438,105.24709284305573,20.633921772241592,105.52543044090271
0,FD003-98.txt,376,50.440415417382376,-41.755327582359314,60.50852179527283,102.26384162902832,20.196821093559265,104.14758145809174
0,FD003-66.txt,234,24.847576771649198,-20.12255072593689,58.27138751745224,78.39394211769104,21.180442422628403,105.74713349342346
0,FD003-7.txt,493,63.53758191623656,-56.10554814338684,53.811903297901154,109.9174553155899,21.304921805858612,102.90867269039154
0,FD003-28.txt,269,34.19156622365431,-28.876962065696716,58.54804366827011,87.42500185966492,21.045258343219757,105.75630784034729
0,FD003-46.txt,273,38.58405046307585,-29.308650344610214,58.95115315914154,88.25980544090271,21.1783929169178,104.33820486068726
0,FD003-69.txt,239,27.34750544358896,-23.19023460149765,56.72153115272522,79.91176187992096,21.066446900367737,104.72288429737091
0,FD003-67.txt,332,45.20965195836036,-40.069642066955566,57.553932666778564,97.62357473373413,21.40472963452339,105.45031547546387
0,FD003-31.txt,252,32.22816681274537,-27.37653210759163,56.093406081199646,83.46995174884796,21.485578566789627,104.43047523498535
0,FD003-34.txt,528,60.72452341627466,-53.81822228431702,57.630577981472015,111.44880414009094,20.99525272846222,104.52985882759094
0,FD003-63.txt,300,42.562721046475,-37.5007900595665,55.637733936309814,93.13852787017822,20.86360201239586,105.05094468593597
0,FD003-54.txt,263,33.76538257977429,-27.047909945249557,59.060334861278534,86.10825061798096,21.349152773618698,105.24873554706573
0,FD003-36.txt,393,51.680568661811364,-47.65599012374878,56.0631400346756,103.7191379070282,21.037037074565887,105.34914195537567
0,FD003-10.txt,550,70.71684435734636,-66.0489672422409,46.248332262039185,112.29729950428009,21.309210658073425,102.7797669172287
0,FD003-23.txt,265,36.23830198760456,-31.728597432374954,54.82752054929733,86.55611991882324,20.974066108465195,104.98763859272003
0,FD003-96.txt,560,57.759805355287504,-51.13218426704407,61.52565777301788,112.65784204006195,20.914190709590912,104.4566422700882
0,FD003-77.txt,324,38.34014346033901,-28.116709738969803,68.49112570285797,96.60784125328064,20.980261117219925,106.18417799472809
0,FD003-29.txt,292,38.105030753822376,-32.68543183803558,59.13070768117905,91.81614339351654,21.306684613227844,105.26179194450378
0,FD003-76.txt,222,21.616600309367065,-18.66971656680107,55.67668616771698,74.34639692306519,20.72699800133705,104.53730523586273
0,FD003-14.txt,276,38.67599790115231,-34.088022112846375,54.77670907974243,88.8647311925888,20.99699229001999,104.94137167930603
0,FD003-35.txt,300,42.2798267622123,-36.44664287567139,56.691884994506836,93.13852787017822,21.544655859470367,104.6734869480133
0,FD003-88.txt,391,53.644190318291145,-45.10105848312378,58.45484346151352,103.55589807033539,20.528195947408676,104.13306832313538
0,FD003-26.txt,312,43.98127290256112,-38.52223426103592,56.436614990234375,94.95884537696838,21.265988945961,104.86250638961792
0,FD003-30.txt,287,38.77307258545237,-30.592791587114334,60.347571671009064,90.94036519527435,22.104814052581787,104.78209912776947
