epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,eval_best_epoch,eval_best_source,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,168,0.09895275397935793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6542862905270817e-06,0.0,0.05,42.86562050671886,,42.86562050671886,42.86562050671886,40.07137519929745,40.07137519929745,0,raw,1,raw,0,15.851386461406946,15.851422127336264
1,240,latent no-align,0.001,168,0.045967421538773034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.15485339512833e-06,0.0,0.1,63.12943943878869,,63.12943943878869,42.86562050671886,,40.07137519929745,0,raw,0,raw,1,9.092582397162914,24.94607823714614
2,240,latent no-align,0.001,168,0.033424274574610446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.209357767384929e-05,0.0,0.15,58.08435669990335,,58.08435669990335,42.86562050671886,,40.07137519929745,0,raw,0,raw,2,12.447890866547823,37.39527150243521
3,240,latent no-align,0.001,168,0.028925869624973052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3923715057119677e-05,0.0,0.2,60.44014952778501,,60.44014952778501,42.86562050671886,,40.07137519929745,0,raw,0,raw,3,8.267159920185804,45.6636631116271
4,240,latent no-align,0.001,168,0.02739368292636105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5145117512951228e-05,0.0,0.25,56.68144878031702,,56.68144878031702,42.86562050671886,54.43552854153722,40.07137519929745,0,raw,0,raw,4,11.700112838298082,57.365114737302065
5,240,latent no-align,0.001,168,0.026051035805028818,0.0,0.0,0.0,0.0006680810332736222,0.4413500660586925,0.06013205796036692,0.2889407112130097,1.6238529372544907e-05,0.025,0.3,58.24662255247831,,58.24662255247831,42.86562050671886,,40.07137519929745,0,raw,0,raw,5,17.160442665219307,74.52720703184605
6,240,latent no-align,0.001,168,0.026260560827462802,0.0,0.0,0.0,0.0007655373164674355,0.2561822459988651,0.05695197762300571,0.2962703884002708,1.7632615135014584e-05,0.05,0.35,58.76727104648287,,58.76727104648287,42.86562050671886,,40.07137519929745,0,raw,0,raw,6,14.657680582255125,89.18695420399308
7,240,latent no-align,0.001,168,0.025139949805591078,0.0,0.0,0.0,0.0010757695736607448,0.2402633691117877,0.055663855524644965,0.3026185557246208,1.979372341122057e-05,0.075,0.4,59.91805453689724,,59.91805453689724,42.86562050671886,,40.07137519929745,0,raw,0,raw,7,13.169103741645813,102.35734293237329
8,240,latent no-align,0.001,168,0.024708447484521286,0.0,0.0,0.0,0.0013554598616402863,0.22535515532252334,0.05402086954563856,0.3024210816337949,2.086199344289309e-05,0.1,0.45,61.1771188454893,,61.1771188454893,42.86562050671886,,40.07137519929745,0,raw,0,raw,8,13.187388513237238,115.54622914269567
9,240,latent no-align,0.001,168,0.024450094294956044,0.0,0.0,0.0,0.0016221493022472021,0.21513198803932893,0.05442040626491819,0.2980771692735808,2.231560683001243e-05,0.125,0.5,61.400904713135574,,61.400904713135574,42.86562050671886,59.29783189264052,40.07137519929745,0,raw,0,raw,9,20.96140069141984,136.5089418888092
10,240,latent no-align,0.001,168,0.024657983039062293,0.0,0.0,0.0,0.0018583739798660169,0.20669918631513914,0.05540779558941722,0.2979906623562177,2.4198538247739115e-05,0.15,0.55,57.14594982211432,,57.14594982211432,42.86562050671886,,40.07137519929745,0,raw,0,raw,10,11.175785455852747,147.6862999163568
11,240,latent no-align,0.001,168,0.024075876145313185,0.0,0.0,0.0,0.0020940603779828443,0.20069501673181853,0.05984455298277594,0.28768487877788995,2.612325694090465e-05,0.175,0.6,55.492012876932,,55.492012876932,42.86562050671886,,40.07137519929745,0,raw,0,raw,11,11.877874188125134,159.56547698751092
12,240,latent no-align,0.001,168,0.023479766777849624,0.0,0.0,0.0,0.0022592222390119873,0.18842229114047118,0.06356785947545654,0.275317866177786,2.712144436416219e-05,0.2,0.65,56.7645669148505,,56.7645669148505,42.86562050671886,,40.07137519929745,0,raw,0,raw,12,14.486998207867146,174.05396222695708
13,240,latent no-align,0.001,168,0.023707783720012577,0.0,0.0,0.0,0.0023685785390192733,0.17292246116059168,0.07136329735762306,0.24994476201633611,2.875075478230082e-05,0.225,0.7,56.86671534732985,,56.86671534732985,42.86562050671886,,40.07137519929745,0,raw,0,raw,13,11.638708520680666,185.69472627341747
14,240,latent no-align,0.001,168,0.02377930923276359,0.0,0.0,0.0,0.002452067217312842,0.1586302173811765,0.08084475036178317,0.23036615648085162,3.042035902061408e-05,0.25,0.75,59.56446294920873,,59.56446294920873,42.86562050671886,57.17799201144005,40.07137519929745,0,raw,0,raw,14,19.535645812749863,205.23186995834112
