epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,eval_best_epoch,eval_best_source,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,148,0.09201118605513428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.864191614771917e-06,0.0,0.05,54.80538039749776,,54.80538039749776,54.80538039749776,54.59740459824081,54.59740459824081,0,raw,1,raw,0,14.731508933007717,14.731522176414728
1,240,latent no-align,0.001,148,0.016439359421162186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6579185156031696e-05,0.0,0.1,76.27821754453286,,76.27821754453286,54.80538039749776,,54.59740459824081,0,raw,0,raw,1,8.357339717447758,23.091751970350742
2,240,latent no-align,0.001,148,0.011429766265398546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9991110148849486e-05,0.0,0.15,65.68609208620303,,65.68609208620303,54.80538039749776,,54.59740459824081,0,raw,0,raw,2,8.266828026622534,31.361223552376032
3,240,latent no-align,0.001,148,0.009815463717598972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1720581399504965e-05,0.0,0.2,69.1653675695709,,69.1653675695709,54.80538039749776,,54.59740459824081,0,raw,0,raw,3,8.698645740747452,40.062577057629824
4,240,latent no-align,0.001,148,0.008514948720993424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.563033208266338e-05,0.0,0.25,57.80129268187459,,57.80129268187459,54.80538039749776,57.5918426718452,54.59740459824081,0,raw,0,raw,4,16.385550893843174,56.45084512606263
5,240,latent no-align,0.001,148,0.00805974323491289,0.0,0.0,0.0,0.0006372331660492597,0.47097032416511225,0.07555235947507459,0.33778904901968465,2.8109966909117224e-05,0.025,0.3,60.42405252688347,,60.42405252688347,54.80538039749776,,54.59740459824081,0,raw,0,raw,5,13.684533026069403,70.13822298496962
6,240,latent no-align,0.001,148,0.007367984011039339,0.0,0.0,0.0,0.0006726443810023468,0.2365091510519788,0.07255552991016491,0.3449791301343892,2.9266279533338683e-05,0.05,0.35,63.214140391855935,,63.214140391855935,54.80538039749776,,54.59740459824081,0,raw,0,raw,6,12.939682599157095,83.08065772801638
7,240,latent no-align,0.001,148,0.0069258482434560315,0.0,0.0,0.0,0.0009053852534978776,0.20667759006893313,0.07034179522983126,0.29079951064006704,2.9311447805584238e-05,0.075,0.4,63.69432608371768,,63.69432608371768,54.80538039749776,,54.59740459824081,0,raw,0,raw,7,12.368314545601606,95.45182386785746
8,240,latent no-align,0.001,148,0.00670862542402402,0.0,0.0,0.0,0.0011104039102163468,0.18762380519026034,0.06997039481192022,0.2640046766279517,2.970362955336994e-05,0.1,0.45,64.84101488666403,,64.84101488666403,54.80538039749776,,54.59740459824081,0,raw,0,raw,8,12.103076953440905,107.55765894427896
9,240,latent no-align,0.001,148,0.006444340420735849,0.0,0.0,0.0,0.0012496674112421838,0.16644173628977826,0.07173381071235682,0.21234462893492467,2.875730397873495e-05,0.125,0.5,69.76457118384107,,69.76457118384107,54.80538039749776,69.58177719798964,54.59740459824081,0,raw,0,raw,9,19.620199352502823,127.18099401891232
10,240,latent no-align,0.001,148,0.0061827369106656595,0.0,0.0,0.0,0.00134236307270397,0.14565812806422646,0.07573582594459122,0.15949704095318512,2.7761391474750536e-05,0.15,0.55,70.9903605062837,,70.9903605062837,54.80538039749776,,54.59740459824081,0,raw,0,raw,10,11.945340394973755,139.12911423295736
11,240,latent no-align,0.001,148,0.005976462708408567,0.0,0.0,0.0,0.0014194597386301972,0.12808832390284217,0.08006385668508105,0.1267246961392261,2.6735126920283545e-05,0.175,0.6,73.54343312046667,,73.54343312046667,54.80538039749776,,54.59740459824081,0,raw,0,raw,11,11.771404046565294,150.9031857289374
12,240,latent no-align,0.001,148,0.005917934153380024,0.0,0.0,0.0,0.0015020960748409601,0.11792118786960035,0.08532223714565909,0.09941740646152883,2.697362161425927e-05,0.2,0.65,74.16013208764926,,74.16013208764926,54.80538039749776,,54.59740459824081,0,raw,0,raw,12,12.230302192270756,163.1361682638526
13,240,latent no-align,0.001,148,0.005833407627997568,0.0,0.0,0.0,0.0015671996948800075,0.10903130718381018,0.0885726961030348,0.07133926103848058,2.6698044805655355e-05,0.225,0.7,74.32797139106925,,74.32797139106925,54.80538039749776,,54.59740459824081,0,raw,0,raw,13,12.243992887437344,175.38290133699775
14,240,latent no-align,0.001,148,0.005615770049091126,0.0,0.0,0.0,0.001614483168531159,0.10143845538432533,0.08864799927215318,0.054494257814980844,2.7068352615920907e-05,0.25,0.75,72.54131415942504,,72.54131415942504,54.80538039749776,72.38761964292617,54.59740459824081,0,raw,0,raw,14,17.532907508313656,192.91852052509785
15,240,latent no-align,0.001,148,0.005433970071199174,0.0,0.0,0.0,0.0016791210462641273,0.0957035047782434,0.0886977368311302,0.044040001953977184,2.7577009650731515e-05,0.275,0.8,77.84292114449681,,77.84292114449681,54.80538039749776,,54.59740459824081,0,raw,0,raw,15,11.779501840472221,204.7007843889296
16,240,latent no-align,0.001,148,0.005391102589389964,0.0,0.0,0.0,0.0017233064871696705,0.08844602928572409,0.08858554714636223,0.03540255612618214,2.6895277888134178e-05,0.3,0.85,76.85777507961875,,76.85777507961875,54.80538039749776,,54.59740459824081,0,raw,0,raw,16,11.751396391540766,216.4548255354166
17,240,latent no-align,0.001,148,0.005169191290750294,0.0,0.0,0.0,0.0017676809598138003,0.0837725379781143,0.08790760175199122,0.03130070074788622,2.681773424695633e-05,0.325,0.9,76.23831816283612,,76.23831816283612,54.80538039749776,,54.59740459824081,0,raw,0,raw,17,12.035897105932236,228.4934529401362
18,240,latent no-align,0.001,148,0.005390146902976306,0.0,0.0,0.0,0.0018521976559674619,0.08250019865462908,0.08616290462983621,0.02885343276618703,2.8272374665165615e-05,0.35,0.95,80.75954208542494,,80.75954208542494,54.80538039749776,,54.59740459824081,0,raw,0,raw,18,12.084141749888659,240.58071744069457
19,240,latent no-align,0.001,148,0.005298499758921664,0.0,0.0,0.0,0.0019313786021509284,0.08057107514626272,0.08313915098237025,0.026833066930742683,2.872328740203237e-05,0.375,1.0,79.86694706960388,,79.86694706960388,54.80538039749776,79.73504561699322,54.59740459824081,0,raw,0,raw,19,18.35673537477851,258.94018590450287
20,240,latent no-align,0.001,148,0.0050484893790043485,0.0,0.0,0.0,0.0020209465709175108,0.07990185830842804,0.08107148533737338,0.025578790293956124,2.916138044236357e-05,0.4,1.0,78.40920756631266,,78.40920756631266,54.80538039749776,,54.59740459824081,0,raw,0,raw,20,11.813701394945383,270.75672468170524
21,240,latent no-align,0.001,148,0.005049895956118063,0.0,0.0,0.0,0.0021096476042215284,0.07904470908279354,0.0782915974488935,0.024609124225035712,2.8232074745992087e-05,0.425,1.0,78.46335008841066,,78.46335008841066,54.80538039749776,,54.59740459824081,0,raw,0,raw,21,12.037633661180735,282.79701378569007
22,240,latent no-align,0.001,148,0.00483962700614152,0.0,0.0,0.0,0.002201062298342082,0.07835299884145325,0.07661222988689267,0.02391850180621888,2.7658840649933523e-05,0.45,1.0,80.1561321122335,,80.1561321122335,54.80538039749776,,54.59740459824081,0,raw,0,raw,22,11.771803990006447,294.5714981034398
23,240,latent no-align,0.001,148,0.004936606137119737,0.0,0.0,0.0,0.0023213925274290347,0.07951501278659782,0.07555592347037147,0.023341595308502782,2.8075645147780323e-05,0.475,1.0,75.20842094097992,,75.20842094097992,54.80538039749776,,54.59740459824081,0,raw,0,raw,23,11.439090173691511,306.01326417922974
