epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,390,0.0676798607294376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.737914894040818e-06,0.0,0.05,17.333975969324822,,17.333975969324822,17.333975969324822,,,1,raw,0,11.37693801522255,11.37694837152958
1,240,latent no-align,0.001,390,0.02986467621313074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.662360112742485e-06,0.0,0.1,13.808987260454547,,13.808987260454547,13.808987260454547,,,1,raw,0,14.39373916387558,25.772902257740498
2,240,latent no-align,0.001,390,0.026240786656928368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22966657456112e-06,0.0,0.15,15.223590873475256,,15.223590873475256,13.808987260454547,,,0,raw,1,18.218135617673397,43.99309274926782
3,240,latent no-align,0.001,390,0.025323530403562847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78859217329703e-06,0.0,0.2,13.673906154285712,,13.673906154285712,13.673906154285712,,,1,raw,0,18.242324516177177,62.23749016597867
4,240,latent no-align,0.001,390,0.024560000563565738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2652711587113284e-06,0.0,0.25,13.853075488643386,,13.853075488643386,13.673906154285712,14.047286274288693,14.047286274288693,0,raw,1,24.40310052782297,86.64260463789105
5,240,latent no-align,0.001,390,0.023991294283992968,0.0,0.0,0.0,0.0005167034029280051,0.34124791759711043,0.03854231821038784,0.3508459814083882,7.830123923924522e-06,0.025,0.3,15.509854222171468,,15.509854222171468,13.673906154285712,,14.047286274288693,0,raw,2,25.37215294316411,112.01685705408454
6,240,latent no-align,0.001,390,0.023129090697815022,0.0,0.0,0.0,0.0007060086254615528,0.23307646425106587,0.03512640924025805,0.35803853815946823,8.495299404715367e-06,0.05,0.35,15.90913644401042,,15.90913644401042,13.673906154285712,,14.047286274288693,0,raw,3,24.560076974332333,136.5790025666356
7,240,latent no-align,0.001,390,0.022953212772233365,0.0,0.0,0.0,0.0009769124371441416,0.21420988516929823,0.03473686617918503,0.3487329423427582,9.115554587715917e-06,0.075,0.4,12.912508895358833,,12.912508895358833,12.912508895358833,,14.047286274288693,1,raw,0,25.38711378350854,161.96821217238903
8,240,latent no-align,0.001,390,0.02225625910438024,0.0,0.0,0.0,0.0012295816905605488,0.20206669641610903,0.035265788541008265,0.336005520209288,9.828619038624963e-06,0.1,0.45,13.72390041948806,,13.72390041948806,12.912508895358833,,14.047286274288693,0,raw,1,25.22603916749358,187.1962703205645
9,240,latent no-align,0.001,390,0.021946469011406105,0.0,0.0,0.0,0.0014204685453874752,0.18651226804806637,0.03799644856689832,0.31267660993796126,1.041792962636324e-05,0.125,0.5,13.651531142936827,,13.651531142936827,12.912508895358833,13.755115451954799,13.755115451954799,0,raw,2,32.80354231223464,220.00188422203064
10,240,latent no-align,0.001,390,0.02179820311661714,0.0,0.0,0.0,0.0015623931486446125,0.17054004848767548,0.042978236318016665,0.283714807109955,1.1065651091111925e-05,0.15,0.55,13.136406905320571,,13.136406905320571,12.912508895358833,,13.755115451954799,0,raw,3,25.503341864794493,245.507305059582
11,240,latent no-align,0.001,390,0.021661625592372356,0.0,0.0,0.0,0.001638401479114038,0.15265368754282976,0.048496308225469714,0.2506530542022143,1.1820859941881515e-05,0.175,0.6,12.800927543571857,,12.800927543571857,12.800927543571857,,13.755115451954799,1,raw,0,23.905995674431324,269.41538832336664
12,240,latent no-align,0.001,390,0.021138287156533736,0.0,0.0,0.0,0.0017155116501574716,0.13956395391470347,0.052447709498497155,0.2225925902907665,1.2590376839701396e-05,0.2,0.65,13.43805181002038,,13.43805181002038,12.800927543571857,,13.755115451954799,0,raw,1,25.73416882380843,295.1515901982784
13,240,latent no-align,0.001,390,0.020910355360366596,0.0,0.0,0.0,0.001796175883963513,0.12945864724043088,0.05389827870978759,0.21204638377978252,1.3262608253847784e-05,0.225,0.7,12.276690592977067,,12.276690592977067,12.276690592977067,,13.755115451954799,1,raw,0,24.086572848260403,319.24026956781745
14,240,latent no-align,0.001,390,0.020534830016251174,0.0,0.0,0.0,0.00185396201395167,0.11992254113921752,0.05586772351883925,0.2055301723954005,1.4072574000378014e-05,0.25,0.75,11.884100590507106,,11.884100590507106,11.884100590507106,12.030367246643653,12.030367246643653,1,raw,0,33.15704729780555,352.39933617040515
15,240,latent no-align,0.001,390,0.020518475066488368,0.0,0.0,0.0,0.0019128483490278131,0.11193904208067136,0.05606186854151579,0.19746621056244923,1.4633931483004767e-05,0.275,0.8,13.425031494989883,,13.425031494989883,11.884100590507106,,12.030367246643653,0,raw,1,24.412158023566008,376.8135885372758
16,240,latent no-align,0.001,390,0.02033708456617135,0.0,0.0,0.0,0.0020083796065778303,0.10756363051059918,0.05582229844652689,0.19291577469079924,1.5371973206175684e-05,0.3,0.85,12.091620089631588,,12.091620089631588,11.884100590507106,,12.030367246643653,0,raw,2,25.001861430704594,401.8174599893391
17,240,latent no-align,0.001,390,0.019794385230694062,0.0,0.0,0.0,0.0020762325533164234,0.10236285468324637,0.055065083924012305,0.189592423920448,1.6022185359477777e-05,0.325,0.9,15.16348442092905,,15.16348442092905,11.884100590507106,,12.030367246643653,0,raw,3,24.95600052177906,426.7754934132099
