epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,168,0.09895275397935793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6542862905270817e-06,0.0,0.05,42.86562050671886,,42.86562050671886,42.86562050671886,,,1,raw,0,8.782253835350275,8.782266099005938
1,240,latent no-align,0.001,168,0.045967421538773034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.15485339512833e-06,0.0,0.1,63.12943943878869,,63.12943943878869,42.86562050671886,,,0,raw,1,8.348111376166344,17.131496906280518
2,240,latent no-align,0.001,168,0.033424274574610446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.209357767384929e-05,0.0,0.15,58.08435669990335,,58.08435669990335,42.86562050671886,,,0,raw,2,8.642628628760576,25.77505825832486
3,240,latent no-align,0.001,168,0.028925869624973052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3923715057119677e-05,0.0,0.2,60.44014952778501,,60.44014952778501,42.86562050671886,,,0,raw,3,7.343117728829384,33.119098640978336
4,240,latent no-align,0.001,168,0.02739368292636105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5145117512951228e-05,0.0,0.25,56.68144878031702,,56.68144878031702,42.86562050671886,54.43552854153722,54.43552854153722,0,raw,4,10.79499476775527,43.91509370878339
5,240,latent no-align,0.001,168,0.026297472350831543,0.0,0.0,0.0,0.0006684343967381643,0.44286590442061424,0.061248748119743096,0.28842931063402266,1.6749051621359068e-05,0.025,0.3,59.836006087126194,,59.836006087126194,42.86562050671886,,54.43552854153722,0,raw,5,11.295383058488369,55.21140633895993
6,240,latent no-align,0.001,168,0.02638624364598876,0.0,0.0,0.0,0.0007648762149897049,0.2566709536172095,0.056143464609271006,0.2986687178767863,1.761104621913373e-05,0.05,0.35,56.0666135347121,,56.0666135347121,42.86562050671886,,54.43552854153722,0,raw,6,10.774269308894873,65.98674568906426
7,240,latent no-align,0.001,168,0.025589819631672332,0.0,0.0,0.0,0.0010821730608031863,0.2408091943888437,0.05584929553082302,0.3021280981955074,2.031766662942876e-05,0.075,0.4,59.669028873903265,,59.669028873903265,42.86562050671886,,54.43552854153722,0,raw,7,11.163323365151882,77.15112408995628
8,240,latent no-align,0.001,168,0.025516074816031114,0.0,0.0,0.0,0.0013544790972013115,0.22458957534815585,0.05370965577839386,0.3047976437069121,2.1093963087401962e-05,0.1,0.45,57.376994870204385,,57.376994870204385,42.86562050671886,,54.43552854153722,0,raw,8,10.314303122460842,87.46648755669594
9,240,latent no-align,0.001,168,0.02420108245375256,0.0,0.0,0.0,0.0016102840260524924,0.21392905738736903,0.05395036252836386,0.3015551840265592,2.3095259556222508e-05,0.125,0.5,59.07311839574546,,59.07311839574546,42.86562050671886,56.73721652150541,54.43552854153722,0,raw,9,13.539771504700184,101.00723380595446
10,240,latent no-align,0.001,168,0.024419608049183375,0.0,0.0,0.0,0.0018449913082544559,0.20531543991750195,0.05557500127525557,0.29864457586691495,2.4335556028225775e-05,0.15,0.55,57.7322335809589,,57.7322335809589,42.86562050671886,,54.43552854153722,0,raw,10,10.92258259281516,111.93080154806376
11,240,latent no-align,0.001,168,0.02409764191889692,0.0,0.0,0.0,0.0020484048997916815,0.194411762768314,0.05918262189342862,0.28548056366188185,2.6434339848232673e-05,0.175,0.6,56.65561424909741,,56.65561424909741,42.86562050671886,,54.43552854153722,0,raw,11,11.303206969052553,123.23503357544541
12,240,latent no-align,0.001,168,0.023635737187716933,0.0,0.0,0.0,0.002241338840186862,0.18432715251332238,0.06584236347338274,0.2722472543162959,2.9095229885050295e-05,0.2,0.65,57.043800732217115,,57.043800732217115,42.86562050671886,,54.43552854153722,0,raw,12,10.509557217359543,133.74552027508616
13,240,latent no-align,0.001,168,0.02375386182462708,0.0,0.0,0.0,0.0023855342657216603,0.17274882263016134,0.07447463247392859,0.24927493938732714,3.059880021369498e-05,0.225,0.7,58.55325602625065,,58.55325602625065,42.86562050671886,,54.43552854153722,0,raw,13,11.205090716481209,144.95155865699053
14,240,latent no-align,0.001,168,0.024135259090967122,0.0,0.0,0.0,0.0024596049957576077,0.15791495037930353,0.08116184489890224,0.2331717825006871,3.1382963546396546e-05,0.25,0.75,56.8763489752471,,56.8763489752471,42.86562050671886,54.33630770285091,54.33630770285091,0,raw,14,14.174905925989151,159.12744353711605
15,240,latent no-align,0.001,168,0.023350691966091592,0.0,0.0,0.0,0.002524007971043743,0.14446693898311683,0.08878035865546692,0.21815909134844938,3.2737336336400146e-05,0.275,0.8,58.222425986146256,,58.222425986146256,42.86562050671886,,54.33630770285091,0,raw,15,10.69153581559658,169.81991431489587
16,240,latent no-align,0.001,168,0.023017255594909546,0.0,0.0,0.0,0.002557686288907592,0.13221479903551794,0.09392320675154527,0.20904883298845517,3.432582141050218e-05,0.3,0.85,58.92489337902528,,58.92489337902528,42.86562050671886,,54.33630770285091,0,raw,16,11.270410403609276,181.09129282459617
17,240,latent no-align,0.001,168,0.023379296879284084,0.0,0.0,0.0,0.002674373828562065,0.12676116451621056,0.09716194025462582,0.20584328729836715,3.52063004161859e-05,0.325,0.9,57.9632213051462,,57.9632213051462,42.86562050671886,,54.33630770285091,0,raw,17,9.277499340474606,190.36973183229566
18,240,latent no-align,0.001,168,0.02251243713821861,0.0,0.0,0.0,0.0027743966825905125,0.12202956265814248,0.09696570850376572,0.207077704636114,3.6855125743039975e-05,0.35,0.95,59.18800382034547,,59.18800382034547,42.86562050671886,,54.33630770285091,0,raw,18,11.115228645503521,201.4859129525721
19,240,latent no-align,0.001,168,0.022243165505296064,0.0,0.0,0.0,0.002884362016283419,0.11819550448230334,0.09604136947365034,0.20673281530893983,3.746491589005191e-05,0.375,1.0,57.17898208783164,,57.17898208783164,42.86562050671886,54.225608270699446,54.225608270699446,0,raw,19,14.225549541413784,215.71246576681733
20,240,latent no-align,0.001,168,0.02228428134029465,0.0,0.0,0.0,0.002986732189865073,0.11467229393089101,0.09387482347942534,0.21009170485749132,3.532149944043167e-05,0.4,1.0,57.817885677978,,57.817885677978,42.86562050671886,,54.225608270699446,0,raw,20,9.872268296778202,225.58567275106907
21,240,latent no-align,0.001,168,0.022270685106161096,0.0,0.0,0.0,0.003099229965647239,0.1114724197735389,0.09314176143102702,0.20575037953399478,3.544337648366179e-05,0.425,1.0,57.86121214204197,,57.86121214204197,42.86562050671886,,54.225608270699446,0,raw,21,10.593643832951784,236.18025520071387
