epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,best_rmse,is_best,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,168,0.09895275397935793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6542862905270817e-06,0.0,0.05,42.86562050671886,42.86562050671886,1,7.732168070971966,7.732178080826998
1,240,latent no-align,0.001,168,0.045967421538773034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.15485339512833e-06,0.0,0.1,63.12943943878869,42.86562050671886,0,7.353051654994488,15.08629073947668
2,240,latent no-align,0.001,168,0.033424274574610446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.209357767384929e-05,0.0,0.15,58.08435669990335,42.86562050671886,0,7.150965835899115,22.238231621682644
3,240,latent no-align,0.001,168,0.028925869624973052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3923715057119677e-05,0.0,0.2,60.44014952778501,42.86562050671886,0,7.557561568915844,29.796739514917135
4,240,latent no-align,0.001,168,0.02739368292636105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5145117512951228e-05,0.0,0.25,56.68144878031702,42.86562050671886,0,7.52452240139246,37.32223182544112
5,240,latent no-align,0.001,168,0.026051035805028818,0.0,0.0,0.0,0.0006680810332736222,0.4413500660586925,0.06013205796036692,0.2889407112130097,1.6238529372544907e-05,0.025,0.3,58.24662255247831,42.86562050671886,0,11.168401680886745,48.49160785228014
6,240,latent no-align,0.001,168,0.026260560827462802,0.0,0.0,0.0,0.0007655373164674355,0.2561822459988651,0.05695197762300571,0.2962703884002708,1.7632615135014584e-05,0.05,0.35,58.76727104648287,42.86562050671886,0,11.06240300834179,59.55496455356479
7,240,latent no-align,0.001,168,0.025139949805591078,0.0,0.0,0.0,0.0010757695736607448,0.2402633691117877,0.055663855524644965,0.3026185557246208,1.979372341122057e-05,0.075,0.4,59.91805453689724,42.86562050671886,0,11.488415289670229,71.04432633891702
8,240,latent no-align,0.001,168,0.024708447484521286,0.0,0.0,0.0,0.0013554598616402863,0.22535515532252334,0.05402086954563856,0.3024210816337949,2.086199344289309e-05,0.1,0.45,61.1771188454893,42.86562050671886,0,11.187804244458675,82.23314205184579
9,240,latent no-align,0.001,168,0.024450094294956044,0.0,0.0,0.0,0.0016221493022472021,0.21513198803932893,0.05442040626491819,0.2980771692735808,2.231560683001243e-05,0.125,0.5,61.400904713135574,42.86562050671886,0,11.343613304197788,93.57775743678212
