epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.001,148,0.06526088099171584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.550680574279426e-06,0.0,0.05,48.438108962592345,,48.438108962592345,48.438108962592345,,,1,raw,0,7.448823470622301,7.448834002017975
1,240,latent no-align,0.001,148,0.015363823697977775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4458041769594766e-05,0.0,0.1,73.22897127193595,,73.22897127193595,48.438108962592345,,,0,raw,1,6.7484783083200455,14.199579395353794
2,240,latent no-align,0.001,148,0.011876569312015499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.946345181553428e-05,0.0,0.15,68.00457068298812,,68.00457068298812,48.438108962592345,,,0,raw,2,9.3996313624084,23.60126633197069
3,240,latent no-align,0.001,148,0.01000680063058295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130866039658793e-05,0.0,0.2,66.24900694463807,,66.24900694463807,48.438108962592345,,,0,raw,3,8.910344202071428,32.51371383666992
4,240,latent no-align,0.001,148,0.009180966352515325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.424339142659871e-05,0.0,0.25,63.068006913287306,,63.068006913287306,48.438108962592345,62.97429394786974,62.97429394786974,0,raw,4,16.75458065420389,49.270511481910944
5,240,latent no-align,0.001,148,0.00817169005214866,0.0,0.0,0.0,0.0006946315894507476,0.49689150561352036,0.07456750186109865,0.2878806460145357,2.6815165145652263e-05,0.025,0.3,74.20293628830261,,74.20293628830261,48.438108962592345,,62.97429394786974,0,raw,5,13.180287305265665,62.452879313379526
6,240,latent no-align,0.001,148,0.008115695248282439,0.0,0.0,0.0,0.0007638223308006402,0.28493113674827525,0.07500137187339165,0.2700496922070916,2.7888094791705953e-05,0.05,0.35,71.6989770123902,,71.6989770123902,48.438108962592345,,62.97429394786974,0,raw,6,10.537505108863115,72.99249998107553
7,240,latent no-align,0.001,148,0.007404298084234265,0.0,0.0,0.0,0.001026242971813583,0.23459703968586149,0.08161888191023388,0.26462532157028046,2.9543359675232284e-05,0.075,0.4,69.14824937567599,,69.14824937567599,48.438108962592345,,62.97429394786974,0,raw,7,11.461240746080875,84.45778789743781
8,240,latent no-align,0.001,148,0.007323611666121193,0.0,0.0,0.0,0.001249271592068662,0.20351019038541898,0.08511395374866756,0.26170399382307724,2.94205611262933e-05,0.1,0.45,71.9967151178591,,71.9967151178591,48.438108962592345,,62.97429394786974,0,raw,8,11.464073736220598,95.92400021106005
9,240,latent no-align,0.001,148,0.006987386339067205,0.0,0.0,0.0,0.0014327140941876113,0.1792577241320868,0.0913970660216905,0.2571359632184377,2.9696167370570333e-05,0.125,0.5,73.99216186969427,,73.99216186969427,48.438108962592345,73.92862776470054,62.97429394786974,0,raw,9,18.59931581094861,114.52543080225587
10,240,latent no-align,0.001,148,0.006717867354824636,0.0,0.0,0.0,0.0015943681111722883,0.16545172136377645,0.09318185280505065,0.24772522125292468,3.0370958840550787e-05,0.15,0.55,66.9829275402457,,66.9829275402457,48.438108962592345,,62.97429394786974,0,raw,10,11.035866357386112,125.56346796452999
11,240,latent no-align,0.001,148,0.006571812548901181,0.0,0.0,0.0,0.0017134207678405015,0.1510445573241324,0.09544147832973583,0.23782996088266373,3.0314757672435058e-05,0.175,0.6,76.3800737119998,,76.3800737119998,48.438108962592345,,62.97429394786974,0,raw,11,11.500919979065657,137.0664818622172
12,240,latent no-align,0.001,148,0.006117350720750117,0.0,0.0,0.0,0.0017960103632995506,0.13746770632428093,0.10077544221201458,0.22516748540707537,3.1551917333205426e-05,0.2,0.65,73.62880818022516,,73.62880818022516,48.438108962592345,,62.97429394786974,0,raw,12,11.235059414058924,148.3036234229803
