epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,eval_best_epoch,eval_best_source,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
10,240,latent no-align,0.001,148,0.006683436011568316,0.0,0.0,0.0,0.0015866803107594417,0.16506481402226397,0.09424382272000248,0.24878946490384438,3.160732205435272e-05,0.15,0.55,75.58041310461003,,75.58041310461003,48.438108962592345,,48.27967636683593,0,raw,0,raw,10,16.21157732233405,158.70511352270842
11,240,latent no-align,0.001,148,0.006473614972688862,0.0,0.0,0.0,0.0016986996130514387,0.1494778657483088,0.09639692412236252,0.23539074057260076,3.0321304227588888e-05,0.175,0.6,75.4993322538616,,75.4993322538616,48.438108962592345,,48.27967636683593,0,raw,0,raw,11,12.565353855490685,171.2737186178565
12,240,latent no-align,0.001,148,0.0061523291892749635,0.0,0.0,0.0,0.0017887366325216921,0.13621366648255168,0.10088607965893037,0.22131744711785703,3.0331947798274358e-05,0.2,0.65,75.31685182765132,,75.31685182765132,48.438108962592345,,48.27967636683593,0,raw,0,raw,12,16.921535957604647,188.1980544179678
13,240,latent no-align,0.001,148,0.005995625869144459,0.0,0.0,0.0,0.001850159905655813,0.12396777476611975,0.10689994300136695,0.21041379174267924,3.0424550680657597e-05,0.225,0.7,77.87528809264693,,77.87528809264693,48.438108962592345,,48.27967636683593,0,raw,0,raw,13,14.022386688739061,202.2248211465776
14,240,latent no-align,0.001,148,0.005778295299466196,0.0,0.0,0.0,0.0018891468140724544,0.11180821403458312,0.10916775827472275,0.20070843881851919,2.790497927816358e-05,0.25,0.75,79.5346929501421,,79.5346929501421,48.438108962592345,79.46042162532699,48.27967636683593,0,raw,0,raw,14,21.597266655415297,223.82493279129267
15,240,latent no-align,0.001,148,0.0058434845539867076,0.0,0.0,0.0,0.0018959802833410937,0.09940157075588768,0.11236676900974803,0.18823643129419637,2.6843944016110146e-05,0.275,0.8,78.89211314178281,,78.89211314178281,48.438108962592345,,48.27967636683593,0,raw,0,raw,15,14.22455246374011,238.05241369083524
16,240,latent no-align,0.001,148,0.0057132943089724195,0.0,0.0,0.0,0.0019244576530606562,0.09145771893295082,0.11253980929787094,0.18167017521084966,2.7193088990807645e-05,0.3,0.85,80.48544016715249,,80.48544016715249,48.438108962592345,,48.27967636683593,0,raw,0,raw,16,11.912970669567585,249.96864640712738
17,240,latent no-align,0.001,148,0.005486807551524426,0.0,0.0,0.0,0.001926690841099952,0.08510029124649796,0.11204727895155146,0.17589760893905484,2.781220013816523e-05,0.325,0.9,81.30831715400642,,81.30831715400642,48.438108962592345,,48.27967636683593,0,raw,0,raw,17,16.03116962686181,266.0030830875039
18,240,latent no-align,0.001,148,0.005462413350107601,0.0,0.0,0.0,0.0019470750034874858,0.08141992351896055,0.1095207532918131,0.17501247372176196,2.965105801883289e-05,0.35,0.95,79.37109865920732,,79.37109865920732,48.438108962592345,,48.27967636683593,0,raw,0,raw,18,12.12098941206932,278.12686701118946
19,240,latent no-align,0.001,148,0.005358386713998845,0.0,0.0,0.0,0.0020088948855315008,0.07983453365395198,0.10630905733922043,0.17432173824793584,3.1852588981073005e-05,0.375,1.0,79.83777254443227,,79.83777254443227,48.438108962592345,79.7803506623538,48.27967636683593,0,raw,0,raw,19,28.571406114846468,306.70152201876044
