epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
0,240,latent no-align,0.0007,148,0.0733424020880783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14969643411717e-06,0.0,0.05,41.55596819628158,,41.55596819628158,41.55596819628158,1,raw,0,5.141106180846691,5.142164006829262
1,240,latent no-align,0.0007,148,0.01654978535087729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.731255616045658e-06,0.0,0.1,38.15845021481913,,38.15845021481913,38.15845021481913,1,raw,0,5.162077434360981,10.306989438831806
2,240,latent no-align,0.0007,148,0.012648412498418946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2299398306552305e-05,0.0,0.15,35.17636607588595,,35.17636607588595,35.17636607588595,1,raw,0,5.09624881669879,15.405813723802567
3,240,latent no-align,0.0007,148,0.01071823768418383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4204170635845938e-05,0.0,0.2,34.554661977843,,34.554661977843,34.554661977843,1,raw,0,5.145332533866167,20.553765196353197
4,240,latent no-align,0.0007,148,0.009812114149885805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5507171057735734e-05,0.0,0.25,36.64010054503856,,36.64010054503856,34.554661977843,0,raw,1,5.078496135771275,25.63489644601941
5,240,latent no-align,0.0007,148,0.009090746718307806,0.0,0.0,0.0,0.0007077136849418182,0.5340191601095973,0.06896276117579357,0.3764087096662135,1.6940820676215997e-05,0.025,0.3,31.744354577865234,32.806043640563736,31.744354577865234,31.744354577865234,1,raw,0,8.053503438830376,33.69103103131056
6,240,latent no-align,0.0007,148,0.008708284101197245,0.0,0.0,0.0,0.000711443493806606,0.29397275137740214,0.06614467431161855,0.3863171540402077,1.816626240110349e-05,0.05,0.35,31.48986800803549,32.052089385613236,31.48986800803549,31.48986800803549,1,raw,0,7.953488476574421,41.64714052900672
7,240,latent no-align,0.0007,148,0.008522934211115982,0.0,0.0,0.0,0.0009866980532958248,0.26957149189468976,0.0634886047274277,0.38539250416530146,1.9002017970214603e-05,0.075,0.4,27.69840324477184,31.41184946361836,27.69840324477184,27.69840324477184,1,raw,0,8.32280207797885,49.97259658202529
8,240,latent no-align,0.0007,148,0.007808150484453182,0.0,0.0,0.0,0.0012185717445194117,0.245337519694019,0.06361251681841709,0.37035442506139343,2.0315750343552036e-05,0.1,0.45,29.581140853852713,30.775240445913013,29.581140853852713,27.69840324477184,0,raw,1,8.71402258053422,58.689258847385645
9,240,latent no-align,0.0007,148,0.0072759106484669685,0.0,0.0,0.0,0.0014388050177650577,0.22798190165210414,0.06497955063005557,0.35120261722319834,2.1464310213707142e-05,0.125,0.5,28.70920832388996,30.2609637897227,28.70920832388996,27.69840324477184,0,raw,2,9.461808249354362,68.15373278036714
10,240,latent no-align,0.0007,148,0.007238416523496444,0.0,0.0,0.0,0.0016264937199790635,0.21356333741867864,0.06821552281444138,0.3320512536007005,2.263673651533601e-05,0.15,0.55,29.118421361020083,30.149691490875924,29.118421361020083,27.69840324477184,0,raw,3,10.508611354976892,78.66501799598336
11,240,latent no-align,0.0007,148,0.006989097911738665,0.0,0.0,0.0,0.001754114408253667,0.19639132796107112,0.07312286272644997,0.31064742984803945,2.4256774407616388e-05,0.175,0.6,31.340123164734948,30.383644610748302,30.383644610748302,27.69840324477184,0,raw,4,8.931870732456446,87.59979351982474
12,240,latent no-align,0.0007,148,0.006854888133553637,0.0,0.0,0.0,0.001807300019159762,0.17558900307159167,0.07852128535710476,0.28994589339236954,2.4775934311824006e-05,0.2,0.65,32.614499217926145,29.84087199402061,29.84087199402061,27.69840324477184,0,raw,5,10.28248305991292,97.88494020700455
13,240,latent no-align,0.0007,148,0.006628763308194843,0.0,0.0,0.0,0.0018754005439994806,0.16219082293478218,0.0827158184067623,0.269934918530084,2.5962124549845907e-05,0.225,0.7,29.408473831297286,30.09273073984476,29.408473831297286,27.69840324477184,0,raw,6,10.498279973864555,108.38588412851095
14,240,latent no-align,0.0007,148,0.006435150327790226,0.0,0.0,0.0,0.001968883939962079,0.15268737822771072,0.0868135496873308,0.2551031288867061,2.7375767208345554e-05,0.25,0.75,32.34460622479991,30.430278175534077,30.430278175534077,27.69840324477184,0,raw,7,8.687923442572355,117.07649255916476
15,240,latent no-align,0.00035,148,0.0077160907770834255,0.0,0.0,0.0,0.0033549240403305237,0.24582410664171786,0.06652199942618608,0.3527878440312437,3.667783913270624e-05,0.275,0.8,29.062244555556422,28.726217115250183,28.726217115250183,27.69840324477184,0,raw,8,10.260152541100979,127.34109817817807
16,240,latent no-align,0.00035,148,0.007656025426537805,0.0,0.0,0.0,0.0034339165887669536,0.22616861951914993,0.07263206187132243,0.3158852576806739,3.817549236987976e-05,0.3,0.85,32.643676950402835,29.493964785658594,29.493964785658594,27.69840324477184,0,raw,9,9.277787610888481,136.62159383296967
17,240,latent no-align,0.00035,148,0.007478156661916827,0.0,0.0,0.0,0.003533163636520102,0.21204855504470901,0.077850240358227,0.2956738721679997,3.9324210307755936e-05,0.325,0.9,29.595865290541347,30.191210537759957,29.595865290541347,27.69840324477184,0,raw,10,9.742212563753128,146.3664936311543
18,240,latent no-align,0.00035,148,0.007189874911705988,0.0,0.0,0.0,0.0035414519244679125,0.19538876283410433,0.085562067559442,0.27209044368685903,4.0758140769596776e-05,0.35,0.95,31.292100203411152,30.358174233768974,30.358174233768974,27.69840324477184,0,raw,11,9.054089959710836,155.4232595078647
19,240,latent no-align,0.00035,148,0.007068789227412561,0.0,0.0,0.0,0.0033693361580623567,0.1730944509240421,0.09823592414928449,0.2457797114510794,4.2209393836241656e-05,0.375,1.0,30.90411802303579,30.715223024170893,30.715223024170893,27.69840324477184,0,raw,12,12.837504368275404,168.263463255018
20,240,latent no-align,0.00035,148,0.006927437067182886,0.0,0.0,0.0,0.0032865252232531436,0.15769580006599426,0.10645813625809308,0.22688350343220942,4.1335699377767115e-05,0.4,1.0,30.836056675281373,30.46556491288176,30.46556491288176,27.69840324477184,0,raw,13,14.731105875223875,182.99722526594996
21,240,latent no-align,0.00035,148,0.006833683334391665,0.0,0.0,0.0,0.0032675615024148814,0.14669811302745664,0.11016933584736811,0.21847591408201167,4.023903558255689e-05,0.425,1.0,28.06080528251748,30.127604413181984,28.06080528251748,27.69840324477184,0,raw,14,15.711426232010126,198.71320770680904
